CASEID	SETID	CHOICE15	Alternative	FSG	FSO	TT	CHOICE01				
1157	28	3	4	0.241	0.485	15	0				
1157	28	3	5	0.554	2.979	17	0				
1163	29	3	1	3.479	27.106	7.12	0				
1163	29	3	2	4.16	19.515	7.12	0				
1163	29	3	3	2.473	1.131	0	1				
1163	29	3	4	1.817	1.498	20.8	0				
1163	29	3	5	1.622	7.598	24.96	0				
1166	30	3	1	1.199	13.735	3.1	0				
1166	30	3	2	0.889	0.48	3.1	0				
1166	30	3	3	4.358	16.2	4.9	1				
1166	30	3	4	1.934	23.864	8.88	0				
1166	30	3	5	0.206	0.542	0	0				
1179	31	3	1	1.101	0.46	6.08	0				
1179	31	3	2	1.023	0.194	4.64	0				
1179	31	3	3	1.556	0.434	0	1				
1179	31	3	4	0.148	3.677	10.64	0				
1179	31	3	5	6.438	77.335	10.64	0				
1188	32	3	1	0.148	3.677	4	0				
1188	32	3	2	1.556	0.434	7.68	0				
1188	32	3	3	2.121	41.669	4	1				
1188	32	3	4	6.438	77.335	4	0				
1188	32	3	5	2.932	2.181	13.32	0				
1188	33	4	1	6.438	77.335	4	0				
1188	33	4	2	1.556	0.434	7.68	0				
1188	33	4	3	0.148	3.677	4	0				
1188	33	4	4	2.121	41.669	4	1				
1188	33	4	5	2.932	2.181	11.92	0				
1188	34	5	1	6.438	77.335	2.38	0				
1188	34	5	2	1.556	0.434	2.22	0				
1188	34	5	3	0.148	3.677	2.38	0				
1188	34	5	4	2.121	41.669	2.38	0				
1188	34	5	5	1.792	2.677	4.28	1				
1188	35	5	1	6.438	77.335	2.38	0				
1188	35	5	2	1.556	0.434	2.22	0				
1188	35	5	3	0.148	3.677	2.38	0				
1188	35	5	4	2.121	41.669	2.38	0				
1188	35	5	5	1.792	2.677	4.28	1				
1196	36	1	1	0.456	0	4.28	1				
1196	36	1	2	1.556	0.434	2.22	0				
1196	36	1	3	0.148	3.677	2.38	0				
1196	36	1	4	2.121	41.669	2.38	0				
1196	36	1	5	6.438	77.335	2.38	0				
1196	37	2	1	1.556	0.434	2.22	0				
1196	37	2	2	0.456	0	4.28	1				
1196	37	2	3	0.148	3.677	2.38	0				
1196	37	2	4	2.121	41.669	2.38	0				
1196	37	2	5	6.438	77.335	2.38	0				
1202	38	5	1	0.148	3.677	2.38	0				
1202	38	5	2	0.513	0.104	0	0				
1202	38	5	3	2.109	1.759	4.08	0				
1202	38	5	4	1.556	0.434	2.77	0				
1202	38	5	5	2.932	2.181	2.13	1				
1204	39	4	1	0.36	0.1	0	0				
1204	39	4	2	0.456	0	0	0				
1204	39	4	3	0.702	0.792	3.62	0				
