ID	FSG1	FSO1	TT1	FSG2	FSO2	TT2	FSG3	FSO3	TT3	FSG4	FSO4	TT4	FSG5	FSO5	TT5	CHOICE	
1304	1325	30295	0	1469	3123	1431	10325	37322	0	384	551	276	2209	2410	0	2
1306	106	327	285	1309	2066	0	7024	12895	285	772	1424	356	483	884	0	2
1310	384	551	276	10325	37322	0	45	111	276	1325	30295	0	1331	9861	337	4
1315	231	2347	570	332	450	490	0	142	0	526	3918	571	2063	3878	570	4
1317	231	2347	570	106	327	0	1309	2066	285	772	1424	219	7024	12895	0	5
1324	3400	17619	600	1395	527	0	0	34996	0	4409	19541	600	772	1424	668	4
1332	2304	8249	0	324	6322	0	0	40	2128	666	1355	1600	3400	17619	600	1
1335	3610	5189	646	585	781	0	258	813	493	350	1083	0	2304	8249	0	4
1336	1447	2000	896	552	3932	0	401	4547	984	2705	89841	600	350	1083	0	3
1337	106	327	836	1309	2066	0	7024	12895	836	772	1424	1008	552	3932	0	2
1339	1190	1597	1776	552	3932	900	1447	2000	1156	20452	83361	1300	2705	89841	1300	5
1344	1309	2066	0	7024	12895	285	2469	17977	495	772	1424	356	2322	867	480	2
1346	1309	2066	0	889	480	0	1199	13735	0	267	3670	829	4358	16200	476	5
1346	4358	16200	476	889	480	0	1199	13735	0	267	3670	829	2939	2361	829	1
1348	267	3670	808	91	401	0	1199	13735	268	4358	16200	276	889	480	268	5
1349	267	3670	808	91	401	0	889	480	476	1199	13735	476	4358	16200	0	5
1352	889	480	268	91	401	0	4358	16200	276	1199	13735	268	267	3670	808	3
1354	267	3670	829	91	401	169	889	480	560	1199	13735	560	4358	16200	169	5
1354	1381	1629	743	91	401	169	889	480	560	1199	13735	560	4358	16200	169	5
1354	1199	13735	560	91	401	169	4358	16200	169	889	480	560	898	56296	1296	5
1354	889	480	560	91	401	169	4358	16200	169	898	56296	1296	1199	13735	560	4
1359	1617	1259	0	217	216	0	1816	3919	609	233	1470	0	889	480	310	1
1362	1816	3919	1884	217	216	0	1617	1259	0	233	1470	0	163	1310	2200	3
1363	1617	1259	0	217	216	0	1816	3919	609	233	1470	0	163	1310	759	1
1363	3418	6650	1075	217	216	0	1617	1259	0	233	1470	0	1816	3919	609	1
1369	217	216	0	1617	1259	0	1816	3919	1884	233	1470	0	163	1310	2200	2
1378	233	1470	0	217	216	0	1816	3919	609	1617	1259	0	163	1310	759	4
1378	233	1470	0	217	216	0	1617	1259	0	1223	42422	919	1816	3919	609	4
1382	1617	1259	0	217	216	0	1223	42422	919	233	1470	0	1816	3919	609	3
1382	217	216	0	1617	1259	0	1816	3919	1884	233	1470	0	163	1310	2200	2
1385	1617	1259	0	217	216	0	1816	3919	609	233	1470	0	163	1310	759	1
1386	217	216	0	1617	1259	0	1816	3919	609	233	1470	0	163	1310	759	2
1389	1816	3919	1884	217	216	0	1617	1259	0	233	1470	0	163	1310	2200	3
1390	1816	3919	1884	217	216	0	1617	1259	0	233	1470	0	163	1310	2200	3
1392	1730	15564	1180	1184	228	972	3153	6816	1180	526	3918	0	233	1470	0	4
1401	834	1250	0	629	779	0	1044	4743	0	1622	7598	708	526	3918	0	2
1401	1817	1498	882	834	1250	0	1044	4743	0	1622	7598	708	629	779	0	5
1401	1622	7598	708	629	779	0	834	1250	0	1044	4743	0	898	56296	1109	5
1401	1044	4743	0	629	779	0	834	1250	0	898	56296	1109	1622	7598	708	4
1403	1044	4743	0	629	779	0	834	1250	0	1622	7598	708	1817	1498	882	3
1403	1044	4743	0	629	779	0	834	1250	0	1622	7598	708	1817	1498	882	3
